phi1,dm
-20.0,16.754044474491085
-19.9,16.7554185348012
-19.799999999999997,16.756776205905656
-19.699999999999996,16.758117499254876
-19.599999999999994,16.759442426299263
-19.499999999999993,16.76075099848923
-19.39999999999999,16.762043227275182
-19.29999999999999,16.763319124107532
-19.19999999999999,16.764578700436676
-19.099999999999987,16.76582196771304
-18.999999999999986,16.76704893738702
-18.899999999999984,16.768259620909035
-18.799999999999983,16.76945402972948
-18.69999999999998,16.770632175298775
-18.59999999999998,16.77179406906733
-18.49999999999998,16.772939722485543
-18.399999999999977,16.774069147003832
-18.299999999999976,16.775182354072605
-18.199999999999974,16.776279355142265
-18.099999999999973,16.777360161663218
-17.99999999999997,16.778424785085885
-17.89999999999997,16.779473236860667
-17.79999999999997,16.78050552843797
-17.699999999999967,16.781521671268216
-17.599999999999966,16.782521676801792
-17.499999999999964,16.783505556489132
-17.399999999999963,16.784473321780624
-17.29999999999996,16.78542498412668
-17.19999999999996,16.786360554977723
-17.09999999999996,16.787280045784147
-16.999999999999957,16.788183467996358
-16.899999999999956,16.789070833064784
-16.799999999999955,16.789942152439814
-16.699999999999953,16.79079743757187
-16.59999999999995,16.791636699911354
-16.49999999999995,16.792459950908672
-16.39999999999995,16.79326720201424
-16.299999999999947,16.794058464678464
-16.199999999999946,16.794833750351753
-16.099999999999945,16.795593070484514
-15.999999999999943,16.796336436527152
-15.899999999999942,16.797063859930088
-15.79999999999994,16.797775352143717
-15.699999999999939,16.79847092461845
-15.599999999999937,16.799150588804707
-15.499999999999936,16.79981435615288
-15.399999999999935,16.800462238113393
-15.299999999999933,16.801094246136646
-15.199999999999932,16.80171039167305
-15.09999999999993,16.802310686173016
-14.999999999999929,16.80289514108695
-14.899999999999928,16.803463767865253
-14.799999999999926,16.804016577958354
-14.699999999999925,16.80455358281664
-14.599999999999923,16.805074793890537
-14.499999999999922,16.80558022263044
-14.39999999999992,16.806069880486763
-14.299999999999919,16.80654377890992
-14.199999999999918,16.80700192935031
-14.099999999999916,16.80744434325835
-13.999999999999915,16.807871032084442
-13.899999999999913,16.808282007279
-13.799999999999912,16.80867728029243
-13.69999999999991,16.809056862575144
