phi1,dm,err
-19.0,16.498639180088006,0.147361487164116
-17.0,16.52863918008801,0.16545506692727116
-15.0,16.64863918008803,0.1967431392499649
-13.0,16.96863918008808,0.12
-11.0,16.78863918008805,0.12
-9.0,17.118639180088103,0.2103319715881036
-7.0,16.878639180088065,0.12
-5.0,16.668639180088032,0.19918170541314964
-3.0,16.64863918008803,0.16383827360712544
-1.0,16.698639180088037,0.21281668898148032
1.0,16.683768004764126,0.2129206265138538
3.0,16.57376800476413,0.17806991917503118
5.0,16.70376800476413,0.25
7.0,16.733768004764126,0.21669323397360798
9.0,16.66376800476413,0.21990972332558006
