run,label,n_bins,n_success,n_success_excluding_cluster,trailing_extent_deg,leading_extent_deg,integrated_total_abs8,integrated_trailing_abs8,integrated_leading_abs8,trailing_to_leading_abs8,integrated_total_abs5,integrated_trailing_abs5,integrated_leading_abs5,trailing_to_leading_abs5,near_cluster_width_deg,leading_width_max_5to8_deg,leading_width_max_5to8_phi1,trailing_width_max_m15to5_deg,trailing_width_max_m15to5_phi1
step4c RRL prior + control + MAP,step4c RRL prior + control + MAP,41,40,38,20.0,9.25,2959.71145235621,1775.3947204618728,1184.3167318943372,1.4990877631375648,2169.6110871797173,1347.3785395193684,822.2325476603494,1.6386830506203072,0.12020981938063025,0.3013065559024435,7.0,0.5346461731198359,-10.25
step3b control + MAP,step3b control + MAP,41,39,37,19.25,9.25,2872.1424935056284,1798.633783306482,1073.5087101991462,1.6754719977752375,2150.9442133936755,1370.0437758482005,780.9004375454748,1.7544410400825492,0.1181866806715495,0.2868347018849003,7.0,0.5535966339434041,-10.25
