phi1_fine,dm_interp
-20.0,16.825035095214844
-19.98499298095703,16.825035095214844
-19.96998405456543,16.825035095214844
-19.95497703552246,16.825035095214844
-19.939970016479492,16.825035095214844
-19.924962997436523,16.825035095214844
-19.909954071044922,16.825035095214844
-19.894947052001953,16.825035095214844
-19.879940032958984,16.825035095214844
-19.864933013916016,16.825035095214844
-19.849924087524414,16.825035095214844
-19.834917068481445,16.825035095214844
-19.819910049438477,16.825035095214844
-19.804903030395508,16.825035095214844
-19.789894104003906,16.825035095214844
-19.774887084960938,16.825035095214844
-19.75988006591797,16.825035095214844
-19.744873046875,16.825035095214844
-19.7298641204834,16.825035095214844
-19.71485710144043,16.825035095214844
-19.69985008239746,16.825035095214844
-19.684843063354492,16.825035095214844
-19.66983413696289,16.825035095214844
-19.654827117919922,16.825035095214844
-19.639820098876953,16.825035095214844
-19.624813079833984,16.825035095214844
-19.609804153442383,16.825035095214844
-19.594797134399414,16.825035095214844
-19.579790115356445,16.825035095214844
-19.564783096313477,16.825035095214844
-19.549774169921875,16.825035095214844
-19.534767150878906,16.825035095214844
-19.519760131835938,16.825035095214844
-19.50475311279297,16.825035095214844
-19.489744186401367,16.825035095214844
-19.4747371673584,16.825035095214844
-19.45973014831543,16.825035095214844
-19.44472312927246,16.825035095214844
-19.42971420288086,16.825035095214844
-19.41470718383789,16.825035095214844
-19.399700164794922,16.825035095214844
-19.384693145751953,16.825035095214844
-19.36968421936035,16.825035095214844
-19.354677200317383,16.825035095214844
-19.339670181274414,16.825035095214844
-19.324663162231445,16.825035095214844
-19.309654235839844,16.825035095214844
-19.294647216796875,16.825035095214844
-19.279640197753906,16.825035095214844
-19.264633178710938,16.825035095214844
-19.249624252319336,16.825035095214844
-19.234617233276367,16.825035095214844
-19.2196102142334,16.825035095214844
-19.20460319519043,16.825035095214844
-19.189594268798828,16.825035095214844
-19.17458724975586,16.825035095214844
-19.15958023071289,16.825035095214844
-19.144573211669922,16.825035095214844
-19.12956428527832,16.825035095214844
-19.11455726623535,16.825035095214844
-19.099550247192383,16.825035095214844
-19.08454132080078,16.825035095214844
