phi1_center,phi1_lo,phi1_hi,fit_lo,fit_hi,n_signal,n_control,n_depth,cluster_bin,success,sampler_used,optimizer_success,sampler_success,message,mu_prior_center,mu_prior_sigma,f_stream,f_stream_err,mu,mu_err,sigma,sigma_err,bg_tilt,bg_tilt_err,n_stream,n_stream_err,linear_density,linear_density_err,peak_surface_density,peak_surface_density_err,map_neglogpost,acc_frac,track_poly,track_resid
-20.0,-20.5625,-19.4375,0.40034475685255466,3.4003447568525544,2869,2124,14744,False,True,map,True,True,laplace_ok,1.9003447568525547,0.35,0.020198648619096496,0.007920137811757141,1.7458314826819665,0.05365847468992049,0.11105344897654558,0.037839796653707236,-0.04985073803311404,0.021944082414575208,57.94992288818785,22.72287538193124,51.51104256727809,20.198111450605545,185.04542611716025,96.12613242985141,3161.8258120700766,nan,2.358879772360332,-0.6130482896783656
-19.25,-19.8125,-18.6875,0.35864961625831926,3.3586496162583193,3012,2106,14797,False,True,map,True,True,laplace_ok,1.8586496162583193,0.35,0.029782656406601198,0.011554479504064144,1.953509636387216,0.08957744891330888,0.20709850613402342,0.06512317280939951,-0.025206824990168963,0.021713718144226186,89.70536109668281,34.8020922662412,79.73809875260694,30.935193125547737,153.6027446313557,76.7083784448854,3314.5455499215277,nan,2.18672253484649,-0.23321289845927384
-18.5,-19.0625,-17.9375,0.3053843056855201,3.30538430568552,2928,2088,14542,False,True,map,True,True,laplace_ok,1.80538430568552,0.35,0.014155106512114622,0.005090364288252953,1.9289252922363427,0.01978946729823999,0.04226331350681099,0.014456446578265232,0.018671763530626162,0.02192901444458449,41.44615186747161,14.904586636004646,36.84102388219699,13.248521454226353,347.75886839820845,172.59649592219887,3211.474244274991,nan,2.019498680304593,-0.09057338806825044
-17.75,-18.3125,-17.1875,0.24054882513415743,3.2405488251341574,2909,2054,14215,False,True,map,True,True,laplace_ok,1.7405488251341574,0.35,0.045943478145132846,0.02044393362294344,1.6523750981855674,0.15757545970251338,0.39042703904217085,0.13054171330607728,0.04923807924858096,0.024749655782923888,133.64957792419145,59.47140290914247,118.79962482150351,52.863469252571086,121.39065304851007,67.56579988330452,3185.306543794695,nan,1.857208208734642,-0.2048331105490746
-17.0,-17.5625,-16.4375,0.16414317460422856,3.1641431746042286,2785,1886,13676,False,True,map,True,True,laplace_ok,1.6641431746042286,0.35,0.016244905393353874,0.005352484925870085,1.942682797958367,0.015889642867116267,0.03936908923934195,0.013704752120034549,0.000640379171978981,0.022713548430773257,45.24206152049054,14.906670518548186,40.21516579599159,13.250373794265053,407.51590294199923,195.3280583799374,3038.4357638195297,nan,1.6998511201366364,0.24283167782173054
-16.25,-16.8125,-15.6875,0.18863590368408278,3.188635903684083,2735,1826,13538,False,True,map,True,True,laplace_ok,1.6886359036840828,0.35,0.022078515981521742,0.008897773867848317,1.3494612697713235,0.028548666481196278,0.07430677326587522,0.040446144575033066,-0.0019302189439094287,0.023035668594029095,60.384741209461964,24.335411528565146,53.67532551952175,21.631476914280128,288.1750320045337,195.17141741848977,2998.295083199493,nan,1.5474274145105764,-0.1979661447392529
-15.5,-16.0625,-14.9375,-0.03141970079416723,2.9685802992058328,2557,1842,13053,False,True,map,True,True,laplace_ok,1.4685802992058328,0.35,0.013148886020473951,0.005990342145656893,1.6711720818848548,0.032240248606123956,0.0555135495179312,0.028627167581224338,0.007154664977739356,0.023331951876324336,33.621701554351894,15.317304866444674,29.885956937201684,13.615382103506377,214.7722838125336,147.7839323304327,2812.484174470982,nan,1.3999370918564615,0.27123499002839324
-14.75,-15.3125,-14.1875,-0.16462399225194102,2.835376007748059,2500,1792,12618,False,True,map,True,True,laplace_ok,1.335376007748059,0.35,0.019195527696167038,0.007193303999993167,1.3471986188665388,0.016242066052673986,0.04096531434309288,0.022878520712935488,-0.07515288930682275,0.023904626613600214,47.98881924041759,17.983259999982916,42.656728213704525,15.985119999984814,415.4141790665578,279.39025259812905,2720.150974092823,nan,1.257380152174293,0.08981846669224569
-14.0,-14.5625,-13.4375,-0.2894996085702002,2.7105003914298,2519,1743,12437,False,True,map,True,True,laplace_ok,1.2105003914297998,0.35,0.032994715352950024,0.00897716931690144,1.291503485175138,0.02433969737138616,0.08137066602141178,0.025563874825537323,-0.047355682321632925,0.024549785476103068,83.11368797408112,22.613489509274725,73.87883375473876,20.100879563799754,362.21149282172803,150.53672261067223,2739.2852719089788,nan,1.1197565954640698,0.1717468897110681
-13.25,-13.8125,-12.6875,-0.3506610970241679,2.649338902975832,2464,1649,12062,False,True,map,True,True,laplace_ok,1.149338902975832,0.35,0.12220210182117476,0.02814436877926397,1.0023683461412916,0.08053308933389203,0.4188441241681067,0.06831423548254979,0.06509097368255053,0.030964631089175333,301.1059788873746,69.34772467210642,267.6497590109996,61.642421930761266,254.93208343514044,71.94547774623116,2678.990700009845,nan,0.9870664217257922,0.01530192441549938
