phi1_center,map_cluster_bin,map_success,map_mu,map_mu_err,map_sigma,map_sigma_err,map_linear_density,map_linear_density_err,map_peak_surface_density,map_peak_surface_density_err,map_track_poly,map_track_resid,map_f_stream,map_f_stream_err,map_n_stream,map_n_stream_err,alt_cluster_bin,alt_success,alt_mu,alt_mu_err,alt_sigma,alt_sigma_err,alt_linear_density,alt_linear_density_err,alt_peak_surface_density,alt_peak_surface_density_err,alt_track_poly,alt_track_resid,alt_f_stream,alt_f_stream_err,alt_n_stream,alt_n_stream_err
-20.0,False,True,2.9928364967378536,,1.2,,1314.3730122986217,,436.9658056870937,,,,0.5273429525092543,,1478.6696388359492,,False,False,1.757053777553379,,0.0299999999999999,,29.06156844543522,,386.46294625547495,,2.4642525613224664,-0.7071987837690874,0.0116598660845629,,32.694264501114624,
-19.25,False,True,1.974753219687498,0.1024214258723057,0.1961989586760544,0.0718922876567506,62.80151518619736,31.153292252191687,127.69782189524216,78.75371044340017,,,0.0238768856317918,0.0118443574801337,70.65170458447203,35.047453783715646,False,True,1.9634658933957696,0.0946097843502835,0.21003417844358,0.0682635036183115,76.14889987846794,30.66057986606677,144.6384392897125,74.84270502099682,2.2741087296539177,-0.3106428362581479,0.0289515080646422,0.011657030195784,85.66751236327644,34.493152349325115
-18.5,False,True,1.9354058959545288,0.020687844491942,0.0456407442627566,0.0140649840399911,38.63227882763962,14.210399587218832,337.681816139421,162.04205648790315,,,0.015075030760005,0.0055451611292477,43.46131368109458,15.986699535621186,False,True,1.9340997791157823,0.0194970268070366,0.0472606941569219,0.0142953501834456,43.43628589107604,14.106226614550287,366.6592557446908,162.72413118262418,2.090166825237655,-0.1560670461218727,0.0169496432977664,0.0055045109057818,48.86582162746054,15.869504941369073
-17.75,False,True,1.0571516248488613,,1.2,,1266.9468299401035,,421.1988812363925,,,,0.5020483211280791,,1425.3151836826164,,False,True,1.715618042656056,0.1593637308867224,0.4057868685747873,0.1414190961466141,124.09576141607435,56.44351189080142,122.00258283704562,69.90803925473867,1.9124268480736784,-0.1968088054176227,0.0491749670986557,0.0223666611050199,139.60773159308366,63.49895087715159
-17.0,False,True,1.942563077885988,0.016942119251162,0.0386657462198723,0.0151554857715333,35.72204883624017,13.515099517812294,368.5700398048091,200.78626347207603,,,0.0149007433966519,0.0056375554162175,40.18730494077019,15.20448695753883,False,True,1.9422595854864984,0.0165057058203269,0.0411708087985752,0.0141717796168222,40.663021144139606,13.335552445142811,394.02185326551376,187.33236659510527,1.7408887981619887,0.2013707873245096,0.0169617718899358,0.0055626609198315,45.74589878715705,15.002496500785664
-16.25,False,True,1.3494776588510724,0.0259749276654131,0.0541207030424618,0.023124877896484,42.057816246515614,15.645380964379475,310.02260094302943,175.63617938314513,,,0.0177609021311299,0.006607002096444,47.31504327733006,17.601053584926913,False,True,1.3480206555614749,0.0214465394348038,0.0543888419147989,0.0197825494376683,47.52093853328695,15.3176876613251,348.5661933192843,169.4030446444962,1.5755526755025853,-0.2275320199411106,0.020067963907638,0.0064686181002217,53.46105584994781,17.232398618990736
-15.5,False,True,1.665632820266758,0.04658927260997,0.0555867009866329,0.0354464154925123,20.56537773147805,14.160971643916364,147.59643123065754,138.5190662901653,,,0.0091627920585793,0.0063093438017449,23.13604994791281,15.93109309940591,False,True,1.609394663153444,0.1547940521882314,0.2725239254679732,0.1121960002938775,61.93504806700969,32.06464157922251,90.66546825272746,59.97082685935327,1.416418480095468,0.1929761830579761,0.0275948233961924,0.0142862264461882,69.6769290753859,36.07272177662532
-14.75,False,True,1.3567736012839688,0.0157945233640287,0.0379067802378078,0.0181532827937186,40.61172353125622,15.19454583969318,427.4099117611792,259.74443132414945,,,0.0186026828064589,0.0069600423736379,45.68818897266324,17.093864069654828,False,True,1.3579468414060465,0.0156674329724598,0.0420923892572688,0.0179403155717631,45.62088041296176,14.873662335098196,432.384532857685,232.0222711241943,1.263486211940637,0.0944606294654093,0.0208971866712467,0.0068130578692937,51.32349046458198,16.73287012698547
-14.0,False,True,1.434868681522075,,1.2,,1309.2719464289746,,435.269946644998,,,,0.5970534818535048,,1472.9309397325965,,False,True,1.2830187835632576,0.0308085204621158,0.1049689223677696,0.033252274969459,84.42030422474343,23.28629726867836,320.8457124252886,134.76944436759845,1.116755871038092,0.1662629125251655,0.0384973012780042,0.0106190046320482,94.97284225283636,26.197084427263157
-13.25,False,True,1.0502247446971296,,1.2,,1714.4453777899098,,569.970623866002,,,,0.8019754885711636,,1928.7510500136489,,False,True,1.0001045663948092,0.0764023359665479,0.4141063165023412,0.0618660571391313,272.67710798231025,58.80626968323642,262.69202602495324,68.91834940702383,0.9762274573878336,0.0238771090069755,0.1275516617380869,0.0275081303092062,306.761746480099,66.15705339364098
-12.5,False,True,0.9541734448247806,0.0447055994076321,0.2472065198276491,0.0684190032099247,216.9862950303816,51.31198665524718,350.1728328833362,127.47523293151536,,,0.105174313618776,0.0248711697488811,244.1095819091793,57.72598498715308,False,True,0.9243045614630012,0.0402665316044505,0.2381215849506286,0.0503929714142432,217.201910924222,42.554924054123546,363.8940403895932,104.94540654853895,0.8419009709898615,0.0824035904731396,0.1052788236922661,0.0206265788715592,244.35214978974972,47.87428956088899
-11.75,False,True,0.944600580379813,0.0344587088642442,0.1529909603521475,0.0335483686714842,125.77442054797412,27.48334039036359,327.9718882349854,101.52999778607966,,,0.064199738256112,0.0140284745640467,141.4962231164709,30.91875793915904,False,True,0.9489896858899212,0.0335416814945716,0.1520615270950239,0.0323323250227652,128.39361000507563,26.60453073921689,336.8481202506171,100.00835581590522,0.7137764118441754,0.2352132740457458,0.0655366657240063,0.0135798988573588,144.4428112557101,29.930097081619003
-11.0,False,True,0.7049139065878381,0.0804804596413273,0.2462910615989092,0.083340578437949,160.7473125238825,47.24174873685647,260.3785091117715,116.69867622474752,,,0.0840337948835352,0.0246965461565815,180.84072658936785,53.14696732896352,False,True,0.6648990262341254,0.054100044588497,0.2062384118183553,0.0647542690722577,147.72394625384766,37.84523291338603,285.7534029127136,115.7970531829017,0.5918537799507755,0.0730452462833499,0.0772255759923692,0.019784334120613,166.18943953557863,42.57588702755928
-10.25,False,True,0.5017405631862615,,1.2,,1207.4189195482386,,401.4087143036736,,,,0.6371230227447319,,1358.3462844917683,,False,True,0.4488484302777067,0.1129335933405445,0.5535966339434041,0.1517157788925072,313.18892007541785,117.79840756616736,225.6955593847102,105.03371676241714,0.4761330753096622,-0.0272846450319555,0.1652615080135295,0.0621591034296145,352.33753508484506,132.5232085119383
-9.5,False,True,0.2988408282471119,0.0315035883964734,0.1810063404105531,0.0292033926078659,166.7379205509301,28.01972631315064,367.4943435854513,85.61113618109553,,,0.0904872940761198,0.0152060743378169,187.5801606197964,31.522192102294472,False,True,0.2867783815739216,0.0293986112061502,0.1765791713616959,0.026837453657631,169.84012568054334,27.629329605864317,383.7168705694798,85.42664672732914,0.3666142979208348,-0.0798359163469132,0.0921708352101356,0.0149942092651217,191.07014139061124,31.082995806597356
-8.75,False,True,0.2782451164690412,0.0313139454137126,0.1370059862507266,0.0308313667338215,114.3628891585878,24.120135416141476,333.00874686401755,102.70715088556037,,,0.0630677697565741,0.0133015452662544,128.65825030341128,27.13515234315916,False,True,0.2730272185443743,0.0308829310705143,0.1374794302172166,0.0304177107480602,117.32246512667145,24.111760186805743,340.4501437487806,102.8080754085223,0.2632974477842939,0.0097297707600803,0.0646998888566202,0.0132969265736061,131.98777326750536,27.125730210156465
