phi1,dm_interp
-19.0,16.41823959350586
-18.950000762939453,16.41973114013672
-18.899999618530273,16.421220779418945
-18.850000381469727,16.422712326049805
-18.799999237060547,16.424203872680664
-18.75,16.425695419311523
-18.700000762939453,16.427186965942383
-18.649999618530273,16.42867660522461
-18.600000381469727,16.43016815185547
-18.549999237060547,16.431659698486328
-18.5,16.433151245117188
-18.450000762939453,16.434640884399414
-18.399999618530273,16.436132431030273
-18.350000381469727,16.437623977661133
-18.299999237060547,16.439115524291992
-18.25,16.44060707092285
-18.200000762939453,16.442096710205078
-18.149999618530273,16.443588256835938
-18.100000381469727,16.445079803466797
-18.049999237060547,16.446571350097656
-18.0,16.448062896728516
-17.950000762939453,16.449552536010742
-17.899999618530273,16.4510440826416
-17.850000381469727,16.45253562927246
-17.799999237060547,16.45402717590332
-17.75,16.455516815185547
-17.700000762939453,16.457008361816406
-17.649999618530273,16.458499908447266
-17.600000381469727,16.459991455078125
-17.549999237060547,16.461483001708984
-17.5,16.46297264099121
-17.450000762939453,16.46446418762207
-17.399999618530273,16.46595573425293
-17.350000381469727,16.46744728088379
-17.299999237060547,16.468936920166016
-17.25,16.470428466796875
-17.200000762939453,16.471920013427734
-17.149999618530273,16.473411560058594
-17.100000381469727,16.474903106689453
-17.049999237060547,16.47639274597168
-17.0,16.47788429260254
-16.950000762939453,16.484651565551758
-16.899999618530273,16.491418838500977
-16.850000381469727,16.498184204101562
-16.799999237060547,16.50495147705078
-16.75,16.51171875
-16.700000762939453,16.51848602294922
-16.649999618530273,16.525251388549805
-16.600000381469727,16.532018661499023
-16.549999237060547,16.538785934448242
-16.5,16.54555320739746
-16.450000762939453,16.55232048034668
-16.399999618530273,16.559085845947266
-16.350000381469727,16.565853118896484
-16.299999237060547,16.572620391845703
-16.25,16.579387664794922
-16.200000762939453,16.586153030395508
-16.149999618530273,16.592920303344727
-16.100000381469727,16.599687576293945
-16.049999237060547,16.606454849243164
-16.0,16.61322021484375
-15.949999809265137,16.61998748779297
-15.899999618530273,16.626754760742188
-15.850000381469727,16.633522033691406
-15.800000190734863,16.640287399291992
-15.75,16.64705467224121
-15.699999809265137,16.65382194519043
-15.649999618530273,16.66058921813965
-15.600000381469727,16.667356491088867
-15.550000190734863,16.674121856689453
-15.5,16.680889129638672
-15.449999809265137,16.68765640258789
-15.399999618530273,16.69442367553711
-15.350000381469727,16.701189041137695
-15.300000190734863,16.707956314086914
-15.25,16.714723587036133
-15.199999809265137,16.72149085998535
-15.149999618530273,16.728256225585938
-15.100000381469727,16.735023498535156
-15.050000190734863,16.741790771484375
-15.0,16.748558044433594
-14.949999809265137,16.75008201599121
-14.899999618530273,16.751605987548828
-14.850000381469727,16.753129959106445
-14.800000190734863,16.754653930664062
-14.75,16.75617790222168
