run,label,n_bins,n_success,n_success_excluding_cluster,trailing_extent_deg,leading_extent_deg,integrated_total_abs8,integrated_trailing_abs8,integrated_leading_abs8,trailing_to_leading_abs8,integrated_total_abs5,integrated_trailing_abs5,integrated_leading_abs5,trailing_to_leading_abs5,near_cluster_width_deg,leading_width_max_5to8_deg,leading_width_max_5to8_phi1,trailing_width_max_m15to5_deg,trailing_width_max_m15to5_phi1
refined DM + control + MAP,refined DM + control + MAP,41,40,38,20.0,10.0,2912.444582506796,1806.1261753282795,1106.3184071785163,1.6325554773462625,2123.2492913407623,1376.7778090881523,746.4714822526101,1.8443809868442407,0.1229433268678916,0.2934319377570645,7.0,0.4864250362144742,-10.25
refined DM + control + emcee,refined DM + control + emcee,41,38,36,20.0,10.0,2821.449709497252,1806.031513020187,1015.4181964770657,1.7786085765314312,2155.0477721366233,1370.736441445406,784.3113306912172,1.7476942991979596,0.12343230941126945,0.3462031755834366,7.0,0.5557589616065048,-10.25
