phi1_center,map_cluster_bin,map_success,map_mu,map_mu_err,map_sigma,map_sigma_err,map_linear_density,map_linear_density_err,map_peak_surface_density,map_peak_surface_density_err,map_track_poly,map_track_resid,map_f_stream,map_f_stream_err,map_n_stream,map_n_stream_err,alt_cluster_bin,alt_success,alt_mu,alt_mu_err,alt_sigma,alt_sigma_err,alt_linear_density,alt_linear_density_err,alt_peak_surface_density,alt_peak_surface_density_err,alt_track_poly,alt_track_resid,alt_f_stream,alt_f_stream_err,alt_n_stream,alt_n_stream_err
-20.0,False,True,2.5106890141612084,0.0528552990456983,0.1444477937094558,0.0371102668844585,76.59370189405149,25.270945387679674,211.5398602727163,88.45820159299456,2.3979835881282154,0.1127054260329929,0.0315633386926036,0.0104138511212965,86.16791463080793,28.429813561139635,False,True,2.335603814142472,0.3981726161495955,0.2399447705795032,0.2656158223122771,65.4870929712179,59.57567881474724,108.88159864330888,156.00998982762894,2.734895145274972,-0.3992913311324999,0.0269864394112161,0.0245504170939892,73.67297959262014,67.02263866659064
-19.25,False,True,1.9542666738895296,0.0905068324230029,0.2132147893370005,0.0655829908412033,80.79335233733143,31.00404939801301,151.17095921421625,74.34670263332369,2.2122300993955646,-0.257963425506035,0.0314180855096777,0.0120565349370081,90.89252137949784,34.87955557276463,False,True,1.9255648211658236,0.1740400690955164,0.2481243921720776,0.2260809448703521,62.0341569855061,45.07796706956147,99.74048836526784,116.24162557455163,2.504965326644361,-0.5794005054785378,0.0241232031139627,0.017529454874959,69.78842660869437,50.71271295325665
-18.5,False,True,1.918895368968504,0.0181613513920264,0.0362136145585939,0.0159888034769045,38.503002762001785,13.770725983342514,424.1630091722076,241.00901318778736,2.0325634536409707,-0.1136680846724664,0.0153113743751332,0.0054761635670768,43.315878107252,15.492066731260328,False,True,1.9820600533516195,0.1509245655128768,0.2675939063752338,0.3139119062238517,74.68791411699192,61.80848178435186,111.34845026880922,159.85355445326826,2.283855378390298,-0.3017953250386789,0.0297009202480084,0.0245791947710837,84.02390338161591,69.53454200739584
-17.75,False,True,1.7637615247797107,0.2210626273637109,0.52261945057066,0.2284243108311261,154.93323056406402,91.52564815022151,118.2684958313311,86.91020444828312,1.858983650864436,-0.0952221260847254,0.0622055261900685,0.0367474497391146,174.299884384572,102.9663541689992,False,True,1.7644617015539736,0.2619910245535045,0.5908550252770689,0.4496746271038946,126.35093985974478,131.06646935205754,85.31150607524019,109.7585853732511,2.0715653005127823,-0.3071035989588087,0.0507297670743086,0.0526230471167254,142.14480734221289,147.44977802106473
-17.0,False,False,1.7505238499207458,,1.2,,578.8873867895695,,192.4522118178809,,1.6914906910659602,0.0590331588547856,0.2420097770859404,,651.2483101382658,,False,True,1.7495092780407298,0.2745073494501886,0.8056593857612209,0.3388368132066457,264.6748372635046,203.274585734144,131.06032773765153,114.76042352312466,1.8680950930118128,-0.1185858149710834,0.1106500155783882,0.084981014102903,297.7591919214427,228.683908950912
-16.25,False,True,1.3506509153466606,0.024731304850504,0.0655493817421967,0.0379567868310412,51.17692249616741,20.81394142565519,311.46957640037385,220.3998268083244,1.5300845742455425,-0.1794336588988818,0.0217342536082251,0.008839442847815,57.57403780818833,23.41568410386209,False,True,1.365945526110509,0.1182519961840106,0.1096005251285613,0.1242979160550509,53.9512718028597,30.823625554306844,196.38084195621676,249.3798899969906,1.6734447558873915,-0.307499229776883,0.022912488024997,0.0130904412036976,60.69518077821717,34.6765787485952
-15.5,False,True,1.5940131870719212,0.1758785649244248,0.293555291764729,0.1154235045467346,57.55950252477219,31.97912805968771,78.22348920355472,53.24216675582476,1.3747653004031828,0.2192478866687384,0.0260686152739004,0.0144833007516701,64.75444034036872,35.97651906714867,False,True,1.5834810730041666,0.2908957541929459,0.3515777820455583,0.3663582847902166,35.97011702566768,35.29990080363125,40.81600500758252,58.42437789301083,1.4876142891395174,0.0958667838646492,0.0162908138703205,0.015987273914688,40.46638165387613,39.71238840408516
-14.75,False,True,1.3567474420548644,0.019353523615645,0.0465788628337537,0.0223309292768621,46.2777035340483,15.960708530497616,396.36288772245297,234.08723368348737,1.225532869538882,0.1312145725159825,0.0212239773647795,0.00731993359022,52.06241647580433,17.955797096809818,False,True,1.3523701338119365,0.1415638780832619,0.1233560609772215,0.176615737660048,62.10086545787541,62.66268710159339,200.8386185843124,351.7887741008073,1.3106036927681903,0.0417664410437461,0.0284808290420341,0.0287384928615134,69.86347364010983,70.49552298929257
-14.0,False,True,1.2977615484399945,0.0226109894694159,0.0803556367106181,0.021750882977604,77.57106442623734,19.37594589069012,385.1176918280874,141.84714733351348,1.0823872816526394,0.215374266787355,0.0354026156103517,0.0088429773334792,87.267447479517,21.797939127026385,False,False,1.3019031116731985,0.1171253462553288,0.5736507227661044,0.7591837642181415,225.96218158160184,273.19512672018766,157.14417227606663,281.6875929750764,1.1424129667734104,0.159490144899788,0.1031267562999197,0.1246833742637773,254.20745427930208,307.3445175602111
-13.25,False,True,1.0138653994242626,0.0747192156561279,0.4106089136821848,0.0626805847681601,274.90318145589714,58.99420839797545,267.0923558773749,70.34018208904868,0.9453285367444552,0.0685368626798073,0.1294541980485074,0.0277808641472257,309.2660791378843,66.36848444772238,False,True,1.022527518000767,0.0909485117374165,0.4121655782000984,0.0870972331584876,264.2998198401795,76.97266770294115,255.82042366851843,92.04943867636844,0.983042111155178,0.0394854068455887,0.1244609867393059,0.0362470703917156,297.337297320202,86.5942511658088
