run,label,n_bins,n_success,n_success_excluding_cluster,trailing_extent_deg,leading_extent_deg,integrated_total_abs8,integrated_trailing_abs8,integrated_leading_abs8,trailing_to_leading_abs8,integrated_total_abs5,integrated_trailing_abs5,integrated_leading_abs5,trailing_to_leading_abs5,near_cluster_width_deg,leading_width_max_5to8_deg,leading_width_max_5to8_phi1,trailing_width_max_m15to5_deg,trailing_width_max_m15to5_phi1
step4b MSTO DM + control + MAP,step4b MSTO DM + control + MAP,41,39,37,20.0,10.0,2842.5510728576646,1786.875616174908,1055.6754566827558,1.692637263529645,2144.174073029215,1380.3964532412206,763.7776197879946,1.807327705706255,0.1237220216367753,0.3133252367194033,7.0,0.4647960625139063,-10.25
step4b MSTO DM + control + emcee,step4b MSTO DM + control + emcee,41,40,38,20.0,10.0,2839.647094643157,1773.7545156792187,1065.8925789639384,1.6641025096575224,2187.6266771495,1372.3246367466115,815.3020404028889,1.6832101095545706,0.12397106975531094,0.3752456824751625,7.0,0.5162758922123027,-10.25
